# Minitial =  6.50 msun, Z = 0.0016, Mfinal = 1.046 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
  nd148    148   2.8250027E-11  1.2704233E-10  9.8792308E-11  2.3293424E-11  1.8114820E-11  1.0919932E-01
  pm147    147  -4.5929806E-16 -4.5929806E-16  0.0000000E+00 -8.4213068E-17  0.0000000E+00  0.0000000E+00
  pm148    148   4.0559934E-31  4.0559934E-31  0.0000000E+00  7.4367315E-32  0.0000000E+00  0.0000000E+00
  sm147    147   1.8056799E-11  8.7345464E-11  6.9288665E-11  1.6014936E-11  1.2704954E-11  1.0055212E-01
  sm148    148   3.4209625E-11  6.6989719E-11  3.2780095E-11  1.2282677E-11  6.0106460E-12  3.1037185E-01
  sm149    149   3.7947423E-12  7.5762729E-11  7.1967987E-11  1.3891223E-11  1.3196243E-11  2.2290181E-02
  sm150    150   3.8977613E-11  5.8211977E-11  1.9234366E-11  1.0673263E-11  3.5268646E-12  4.8090845E-01
  sm151    151   8.8910345E-14  8.8910345E-14  0.0000000E+00  1.6301861E-14  0.0000000E+00  0.0000000E+00
  sm152    152   2.9601391E-11  1.6349459E-10  1.3389320E-10  2.9977007E-11  2.4551014E-11  8.6718827E-02
  eu151    151  -6.6986694E-13  9.2185926E-11  9.2855792E-11  1.6902443E-11  1.7026287E-11 -3.1704612E-03
  eu152    152   9.1117940E-18  9.1117940E-18  0.0000000E+00  1.6706627E-18  0.0000000E+00  0.0000000E+00
  eu153    153  -1.2053553E-13  1.1007861E-10  1.1019915E-10  2.0183097E-11  2.0206409E-11 -5.0136400E-04
  eu154    154   6.2550482E-16  6.2550482E-16  0.0000000E+00  1.1468735E-16  0.0000000E+00  0.0000000E+00
  eu155    155   6.4733143E-17  6.4733143E-17  0.0000000E+00  1.1868930E-17  0.0000000E+00  0.0000000E+00
  gd152    152   6.6874371E-13  1.5547053E-12  8.8596155E-13  2.8505781E-13  1.6245227E-13  2.4420714E-01
  gd153    153  -1.0371673E-24 -1.0371673E-24  0.0000000E+00 -1.9016636E-25  0.0000000E+00  0.0000000E+00
  gd154    154   7.8589938E-12  1.5937481E-11  8.0784867E-12  2.9221636E-12  1.4812928E-12  2.9506359E-01
  gd155    155   5.8148000E-12  1.1064077E-10  1.0482597E-10  2.0286169E-11  1.9221170E-11  2.3420235E-02
  gd156    156   2.3403821E-11  1.6265830E-10  1.3925448E-10  2.9823671E-11  2.5534073E-11  6.7441016E-02
