#test case: AGB models
#description                       mass             Z   remnantmass
[evmodels]
5
m1.25_pmz2e-3                      1.20      1.60e-03          0.65
m2.5_pmz2e-3                       2.50      1.60e-03          0.68
m3.5_pmz1e-3                       3.50      1.60e-03          0.84
m5.0_nopmz                         5.00      1.60e-03          0.92
m6.5_nopmz                         6.50      1.60e-03          1.05

#species      type m1.25_pmz2e-3  m2.5_pmz2e-3  m3.5_pmz1e-3    m5.0_nopmz    m6.5_nopmz
[yields]
gd153     absolute  0.000000e+00  0.000000e+00 -2.165239e-29 -4.306406e-25 -1.037167e-24
gd154     absolute  2.124250e-12  8.721333e-11  5.730880e-11  1.512459e-11  1.593748e-11
gd155     absolute  1.511736e-11  2.217790e-10  1.930876e-10  9.633541e-11  1.106408e-10
gd156     absolute  2.354610e-11  5.541925e-10  4.083021e-10  1.508496e-10  1.626583e-10
gd157     absolute  1.631235e-11  2.710725e-10  2.164623e-10  1.046536e-10  1.208484e-10
gd158     absolute  3.354250e-11  1.022149e-09  7.542361e-10  2.143686e-10  2.077398e-10
tb159     absolute  1.933018e-11  2.583438e-10  2.190811e-10  1.231808e-10  1.470939e-10
dy160     absolute  6.755858e-12  3.554245e-10  2.516937e-10  4.325801e-11  2.966898e-11
dy161     absolute  2.252192e-11  2.140145e-10  1.985593e-10  1.430153e-10  1.782013e-10
dy162     absolute  3.946808e-11  7.581538e-10  6.033716e-10  2.506027e-10  2.842251e-10
dy163     absolute  2.959893e-11  3.552938e-10  3.134619e-10  1.885815e-10  2.301511e-10
dy164     absolute  4.916253e-11  1.412037e-09  1.084903e-09  3.071670e-10  3.032465e-10
ho165     absolute  2.707312e-11  3.134660e-10  2.804829e-10  1.709926e-10  2.087054e-10
er166     absolute  3.041979e-11  6.191688e-10  4.972053e-10  1.903403e-10  2.118011e-10
er167     absolute  1.879409e-11  2.671343e-10  2.303703e-10  1.184796e-10  1.403300e-10
er168     absolute  3.035636e-11  9.101906e-10  6.955724e-10  1.844549e-10  1.786730e-10
er169     absolute  0.000000e+00  0.000000e+00  3.348130e-38  7.048476e-30  1.762818e-28
er170     absolute  1.395322e-11  3.913925e-10  2.533478e-10  1.016136e-10  1.095785e-10
tm169     absolute  1.298740e-11  2.370418e-10  2.002074e-10  8.114913e-11  9.063018e-11
